Rank,Wallet Address,Token Balance KGEN,Percentage of Total Supply,Wallet or Entity Label,Classification,Circulating Status,Exclusion Status,Exclusion Reason,Lock Status,Vesting Status,Project Control Status,BscScan Evidence URL,Notes
1,0xb3c54ca96de0ded4ca0151f629ff9781506ba261,41775638.372417177049704684,58.0374337692887326%,Contract owner and original mint recipient,FOUNDER_OR_TEAM_CONTROLLED,NON_CIRCULATING,EXCLUDED,Current on-chain owner and original mint recipient,NOT_EVIDENCED,NOT_EVIDENCED,PROJECT_CONTROLLED,https://bscscan.com/token/0xba3d3810e58735cb6813bc1cdc5458c0d71432be?a=0xb3c54ca96de0ded4ca0151f629ff9781506ba261,Frozen at BSC block 112570686
2,0xe87f6975fa3d4f3d56dce49fc978884285a3ed85,7808747.10694108714818062,10.8484193347347715%,autoLPWallet reserve,TREASURY,NON_CIRCULATING,EXCLUDED,Current on-chain autoLPWallet and project-controlled allocation,NOT_EVIDENCED,NOT_EVIDENCED,PROJECT_CONTROLLED,https://bscscan.com/token/0xba3d3810e58735cb6813bc1cdc5458c0d71432be?a=0xe87f6975fa3d4f3d56dce49fc978884285a3ed85,Frozen at BSC block 112570686
3,0xfa4d34c46e86058e672936fa03cfd79f4c7a4b3c,7219494.213882174296359,10.0297908927371379%,bankWallet,BANK,NON_CIRCULATING,EXCLUDED,Current on-chain bankWallet,NOT_EVIDENCED,NOT_EVIDENCED,PROJECT_CONTROLLED,https://bscscan.com/token/0xba3d3810e58735cb6813bc1cdc5458c0d71432be?a=0xfa4d34c46e86058e672936fa03cfd79f4c7a4b3c,Frozen at BSC block 112570686
4,0x0fd21cf643211d067a18a416da219827da26e288,7209747.106941087148179274,10.0162495778566207%,rewardWallet,REWARD,NON_CIRCULATING,EXCLUDED,Current on-chain rewardWallet,NOT_EVIDENCED,NOT_EVIDENCED,PROJECT_CONTROLLED,https://bscscan.com/token/0xba3d3810e58735cb6813bc1cdc5458c0d71432be?a=0x0fd21cf643211d067a18a416da219827da26e288,Frozen at BSC block 112570686
5,0xcd60bf474e691f2484950a0276eaf507616ca4b9,3600000,5.0013541314880517%,MOTHER repository reference,FOUNDER_OR_TEAM_CONTROLLED,NON_CIRCULATING,EXCLUDED,Repository runtime records identify this address as MOTHER,NOT_EVIDENCED,NOT_EVIDENCED,PROJECT_CONTROLLED,https://bscscan.com/token/0xba3d3810e58735cb6813bc1cdc5458c0d71432be?a=0xcd60bf474e691f2484950a0276eaf507616ca4b9,Frozen at BSC block 112570686
6,0xf36640d7327b53ba3d7fcc1d98dfc1b85574b6c2,1060310.050838289978556142,1.4730516815051077%,PancakeSwap V2 KGEN/WBNB pair,LIQUIDITY_POOL,CIRCULATING,INCLUDED,Public AMM liquidity is available to the market,LP_TOKEN_LOCK_SEPARATE_FROM_KGEN_BALANCE,NOT_APPLICABLE,NOT_PROJECT_CONTROLLED_BY_CLASSIFICATION,https://bscscan.com/token/0xba3d3810e58735cb6813bc1cdc5458c0d71432be?a=0xf36640d7327b53ba3d7fcc1d98dfc1b85574b6c2,LP-token ownership is separate from the KGEN balance in the pair
7,0xb73d6716005b37bec742d64482fa26033ee1a4e1,735378.46758893646604062,1.0216355936342444%,Ownership-unverified major holder,PUBLIC_CIRCULATING,CIRCULATING,INCLUDED,No evidence of project control lock vesting or non-circulating status,NOT_EVIDENCED,NOT_EVIDENCED,OWNERSHIP_UNVERIFIED,https://bscscan.com/token/0xba3d3810e58735cb6813bc1cdc5458c0d71432be?a=0xb73d6716005b37bec742d64482fa26033ee1a4e1,Included unless contrary evidence is established
8,0xef83804c264b47378fcf150086943b53fb90a90b,734989.145708089993065291,1.0210947223572304%,Ownership-unverified major holder,PUBLIC_CIRCULATING,CIRCULATING,INCLUDED,No evidence of project control lock vesting or non-circulating status,NOT_EVIDENCED,NOT_EVIDENCED,OWNERSHIP_UNVERIFIED,https://bscscan.com/token/0xba3d3810e58735cb6813bc1cdc5458c0d71432be?a=0xef83804c264b47378fcf150086943b53fb90a90b,Included unless contrary evidence is established
AGGREGATE,AGGREGATED_HOLDERS_BELOW_1_PERCENT,1836201.321800983623555369,2.5509702963981031%,Other holders below major-holder threshold,PUBLIC_CIRCULATING,CIRCULATING,INCLUDED,No project-control evidence in the verified major-holder review,NOT_EVIDENCED,NOT_EVIDENCED,NOT_EVIDENCED,https://bscscan.com/token/0xba3d3810e58735cb6813bc1cdc5458c0d71432be#balances,Aggregate excludes separately listed public AMM and ownership-unverified major holders
N/A,0x0000000000000000000000000000000000000000,0,0%,Burn address,BURN_ADDRESS,NON_CIRCULATING,EXCLUDED,Burns reduce totalSupply and are not subtracted twice,NOT_APPLICABLE,NOT_APPLICABLE,NOT_PROJECT_CONTROLLED,https://bscscan.com/token/0xba3d3810e58735cb6813bc1cdc5458c0d71432be?a=0x0000000000000000000000000000000000000000,Verified current balance is zero
N/A,0xba3d3810e58735cb6813bc1cdc5458c0d71432be,0,0%,KGEN token contract,CONTRACT_HELD,NON_CIRCULATING,EXCLUDED,Any non-zero token-contract-held balance is excluded,NOT_APPLICABLE,NOT_APPLICABLE,CONTRACT,https://bscscan.com/token/0xba3d3810e58735cb6813bc1cdc5458c0d71432be?a=0xba3d3810e58735cb6813bc1cdc5458c0d71432be,Verified current balance is zero
