交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2026/01/08,TX,202601  ,30362,30663,30353,30458,-58,-0.19%,63571,30458,72580,30458,30461,30676,26277,,一般,,
2026/01/08,TX,202601  ,30508,30563,30266,30306,-210,-0.69%,34258,-,-,30305,30308,30676,26277,,盤後,,
2026/01/08,TX,202602  ,30470,30766,30470,30572,-58,-0.19%,1286,30567,3764,30563,30569,30795,26305,,一般,,
2026/01/08,TX,202602  ,30632,30675,30398,30441,-189,-0.62%,576,-,-,30429,30437,30795,26305,,盤後,,
2026/01/08,TX,202603  ,30552,30827,30552,30641,-56,-0.18%,154,30623,798,30621,30626,30827,17068,,一般,,
2026/01/08,TX,202603  ,30697,30700,30588,30650,-47,-0.15%,29,-,-,30490,30500,30827,17068,,盤後,,
2026/01/08,TX,202606  ,30700,30920,30700,30784,-16,-0.05%,16,30738,420,30734,30743,30920,20819,,一般,,
2026/01/08,TX,202606  ,30817,30817,30650,30650,-150,-0.49%,8,-,-,30590,30612,30896,20819,,盤後,,
2026/01/08,TX,202609  ,30471,30719,30471,30580,-20,-0.07%,11,30533,197,30526,30541,30719,24962,,一般,,
2026/01/08,TX,202609  ,30450,30450,30450,30450,-150,-0.49%,1,-,-,30385,30409,30698,24962,,盤後,,
2026/01/08,TX,202612  ,30557,30800,30557,30740,54,0.18%,5,30625,37,30608,30642,30800,27382,,一般,,
2026/01/08,TX,202612  ,30641,30641,30641,30641,-45,-0.15%,1,-,-,30460,30511,30712,27382,,盤後,,
2026/01/08,TX,202601/202602    ,123,123,104,106,-,-,218,-,-,105,108,129,25,,一般,772,
2026/01/08,TX,202601/202602    ,117,125,117,125,-,-,20,-,-,124,129,129,25,,盤後,411,
2026/01/08,TX,202601/202603    ,189,189,158,164,-,-,96,-,-,163,165,189,80,,一般,49,
2026/01/08,TX,202601/202603    ,-,-,-,-,-,-,0,-,-,185,192,147,80,,盤後,25,
2026/01/08,TX,202601/202606    ,-,-,-,-,-,-,0,-,-,276,282,230,59,,一般,11,
2026/01/08,TX,202601/202606    ,-,-,-,-,-,-,0,-,-,285,304,230,59,,盤後,7,
2026/01/08,TX,202601/202609    ,-,-,-,-,-,-,0,-,-,68,80,-29,-89,,一般,6,
2026/01/08,TX,202601/202609    ,-,-,-,-,-,-,0,-,-,80,101,-29,-89,,盤後,1,
2026/01/08,TX,202601/202612    ,-,-,-,-,-,-,0,-,-,150,181,90,-68,,一般,1,
2026/01/08,TX,202601/202612    ,-,-,-,-,-,-,0,-,-,155,203,90,-68,,盤後,1,
2026/01/08,TX,202602/202603    ,-,-,-,-,-,-,0,-,-,-,57,-,-,,一般,14,
2026/01/08,TX,202603/202606    ,-,-,-,-,-,-,0,-,-,75,-,-13,-117,,一般,2,
2026/01/08,TX,202606/202609    ,-,-,-,-,-,-,0,-,-,-239,-202,-210,-252,,一般,7,
2026/01/08,TX,202609/202612    ,-,-,-,-,-,-,0,-,-,83,-,-,-,,一般,1,
