ユら戳,,戳る(秅),秨絃基,程蔼基,程基,Μ絃基,害禴基,害禴%,Θユ秖,挡衡基,ゼ≧綪计,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基,琌癟既氨ユ,ユ琿,基畉癸虫Α〆癠Θユ秖
2026/01/09,TX,202601  ,30450,30578,30005,30456,-2,-0.01%,83205,30453,72254,30452,30453,30676,26277,,,,
2026/01/09,TX,202601  ,30433,30583,30325,30458,0,0.00%,38418,-,-,30454,30458,30676,26277,,絃,,
2026/01/09,TX,202602  ,30569,30690,30135,30562,-5,-0.02%,1917,30561,4030,30561,30565,30795,26305,,,,
2026/01/09,TX,202602  ,30549,30690,30450,30575,8,0.03%,552,-,-,30572,30580,30795,26305,,絃,,
2026/01/09,TX,202603  ,30623,30740,30196,30618,-5,-0.02%,179,30625,887,30623,30627,30827,17068,,,,
2026/01/09,TX,202603  ,30673,30720,30510,30510,-113,-0.37%,15,-,-,30627,30637,30827,17068,,絃,,
2026/01/09,TX,202606  ,30630,30840,30319,30774,36,0.12%,18,30748,421,30745,30751,30920,20819,,,,
2026/01/09,TX,202606  ,30810,30839,30630,30685,-53,-0.17%,9,-,-,30736,30757,30920,20819,,絃,,
2026/01/09,TX,202609  ,30496,30535,30200,30535,2,0.01%,4,30545,200,30538,30552,30719,24962,,,,
2026/01/09,TX,202609  ,30585,30585,30440,30449,-84,-0.28%,9,-,-,30530,30553,30719,24962,,絃,,
2026/01/09,TX,202612  ,30364,30695,30364,30695,70,0.23%,2,30636,39,30620,30652,30800,27382,,,,
2026/01/09,TX,202612  ,30671,30671,30525,30658,33,0.11%,6,-,-,30609,30661,30800,27382,,絃,,
2026/01/09,TX,202601/202602    ,122,123,108,109,-,-,221,-,-,109,112,129,25,,,1352,
2026/01/09,TX,202601/202602    ,-,-,-,-,-,-,0,-,-,118,122,129,25,,絃,356,
2026/01/09,TX,202601/202603    ,178,181,172,174,-,-,80,-,-,171,174,189,80,,,92,
2026/01/09,TX,202601/202603    ,-,-,-,-,-,-,0,-,-,173,179,189,80,,絃,12,
2026/01/09,TX,202601/202606    ,-,-,-,-,-,-,0,-,-,293,298,230,59,,,15,
2026/01/09,TX,202601/202606    ,-,-,-,-,-,-,0,-,-,282,299,230,59,,絃,7,
2026/01/09,TX,202601/202609    ,-,-,-,-,-,-,0,-,-,86,99,-29,-89,,,4,
2026/01/09,TX,202601/202609    ,-,-,-,-,-,-,0,-,-,76,95,-29,-89,,絃,9,
2026/01/09,TX,202601/202612    ,-,-,-,-,-,-,0,-,-,168,199,90,-68,,,2,
2026/01/09,TX,202601/202612    ,-,-,-,-,-,-,0,-,-,155,203,90,-68,,絃,3,
2026/01/09,TX,202602/202603    ,-,-,-,-,-,-,0,-,-,51,64,-,-,,,1,
2026/01/09,TX,202609/202612    ,-,-,-,-,-,-,0,-,-,83,-,-,-,,絃,3,
