ユら戳,,戳る(秅),秨絃基,程蔼基,程基,Μ絃基,害禴基,害禴%,Θユ秖,挡衡基,ゼ≧綪计,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基,琌癟既氨ユ,ユ琿,基畉癸虫Α〆癠Θユ秖
2026/01/14,TX,202601  ,31000,31162,30937,30982,112,0.36%,54974,30980,75427,30980,30983,31252,26277,,,,
2026/01/14,TX,202601  ,30870,31127,30855,30956,86,0.28%,52649,-,-,30953,30958,31252,26277,,絃,,
2026/01/14,TX,202602  ,31108,31285,31065,31106,116,0.37%,1862,31108,5549,31107,31112,31364,26305,,,,
2026/01/14,TX,202602  ,31013,31240,30980,31072,82,0.26%,1357,-,-,31073,31082,31364,26305,,絃,,
2026/01/14,TX,202603  ,31209,31336,31139,31158,122,0.39%,105,31158,1045,31162,31167,31408,17068,,,,
2026/01/14,TX,202603  ,31058,31298,31054,31073,37,0.12%,207,-,-,31124,31138,31408,17068,,絃,,
2026/01/14,TX,202606  ,31380,31422,31322,31380,168,0.54%,7,31346,435,31342,31351,31561,20819,,,,
2026/01/14,TX,202606  ,31232,31362,31232,31362,150,0.48%,16,-,-,31287,31299,31561,20819,,絃,,
2026/01/14,TX,202609  ,-,-,-,-,-,-,0,31144,205,31136,31153,31296,24962,,,,
2026/01/14,TX,202609  ,31122,31217,31040,31064,59,0.19%,10,-,-,31083,31099,31296,24962,,絃,,
2026/01/14,TX,202612  ,31220,31220,31220,31220,101,0.32%,1,31250,46,31234,31266,31323,27382,,,,
2026/01/14,TX,202612  ,31300,31313,31300,31313,194,0.62%,3,-,-,31179,31229,31323,27382,,絃,,
2026/01/15,TX,202601  ,30831,31057,30744,31050,70,0.23%,58154,31050,75732,31050,31052,31252,26277,,,,
2026/01/15,TX,202601  ,30940,30990,30657,30841,-139,-0.45%,52310,-,-,30834,30841,31252,26277,,絃,,
2026/01/15,TX,202602  ,30958,31134,30845,31127,19,0.06%,2541,31130,7234,31127,31133,31364,26305,,,,
2026/01/15,TX,202602  ,31085,31110,30794,30965,-143,-0.46%,1604,-,-,30961,30970,31364,26305,,絃,,
2026/01/15,TX,202603  ,31027,31151,30901,31151,-7,-0.02%,224,31160,1155,31156,31164,31408,17068,,,,
2026/01/15,TX,202603  ,31121,31153,30853,30953,-205,-0.66%,85,-,-,31019,31036,31408,17068,,絃,,
2026/01/15,TX,202606  ,31200,31200,31200,31200,-146,-0.47%,23,31345,437,31341,31349,31561,20819,,,,
2026/01/15,TX,202606  ,31315,31315,31111,31158,-188,-0.60%,15,-,-,31197,31230,31561,20819,,絃,,
2026/01/15,TX,202609  ,31085,31085,31085,31085,-59,-0.19%,3,31144,209,31137,31152,31296,24962,,,,
2026/01/15,TX,202609  ,31000,31000,30973,30973,-171,-0.55%,5,-,-,30997,31039,31296,24962,,絃,,
2026/01/15,TX,202612  ,-,-,-,-,-,-,0,31262,46,31246,31279,31323,27382,,,,
2026/01/15,TX,202612  ,-,-,-,-,-,-,0,-,-,31094,31184,31323,27382,,絃,,
2026/01/16,TX,202601  ,31382,31536,31157,31474,424,1.37%,72871,31476,70108,31473,31477,31543,26277,,,,
2026/01/16,TX,202601  ,31182,31543,31119,31335,285,0.92%,65948,-,-,31335,31341,31543,26277,,絃,,
2026/01/16,TX,202602  ,31447,31607,31237,31568,438,1.41%,8996,31567,12700,31560,31568,31607,26305,,,,
2026/01/16,TX,202602  ,31230,31590,31193,31410,280,0.90%,3194,-,-,31411,31420,31590,26305,,絃,,
2026/01/16,TX,202603  ,31462,31610,31255,31578,418,1.34%,234,31578,1146,31575,31586,31610,17068,,,,
2026/01/16,TX,202603  ,31255,31600,31221,31438,278,0.89%,431,-,-,31436,31452,31600,17068,,絃,,
2026/01/16,TX,202606  ,31574,31770,31500,31741,396,1.26%,39,31741,445,31720,31754,31770,20819,,,,
2026/01/16,TX,202606  ,31470,31700,31462,31700,355,1.13%,45,-,-,31550,31641,31700,20819,,絃,,
2026/01/16,TX,202609  ,31400,31560,31273,31514,370,1.19%,15,31527,200,31510,31544,31560,24962,,,,
2026/01/16,TX,202609  ,31294,31500,31260,31500,356,1.14%,14,-,-,31323,31436,31500,24962,,絃,,
2026/01/16,TX,202612  ,31502,31670,31370,31615,353,1.13%,12,31634,66,31609,31659,31670,27382,,,,
2026/01/16,TX,202612  ,31570,31631,31570,31600,338,1.08%,22,-,-,31479,31570,31631,27382,,絃,,
2026/01/19,TX,202601  ,31272,31774,31208,31669,193,0.61%,89177,31672,46669,31667,31669,31774,26277,,,,
2026/01/19,TX,202601  ,31491,31525,31287,31342,-134,-0.43%,35778,-,-,31342,31346,31543,26277,,絃,,
2026/01/19,TX,202602  ,31341,31890,31321,31786,219,0.69%,34813,31792,34269,31784,31788,31890,26305,,,,
2026/01/19,TX,202602  ,31564,31616,31400,31458,-109,-0.35%,2033,-,-,31458,31463,31616,26305,,絃,,
2026/01/19,TX,202603  ,31409,31902,31350,31814,236,0.75%,225,31814,1184,31804,31810,31902,17068,,,,
2026/01/19,TX,202603  ,31567,31650,31422,31516,-62,-0.20%,187,-,-,31478,31502,31650,17068,,絃,,
2026/01/19,TX,202606  ,31565,32050,31560,31955,214,0.67%,53,31955,457,31953,31964,32050,20819,,,,
2026/01/19,TX,202606  ,31775,31775,31638,31650,-91,-0.29%,8,-,-,31600,31672,31775,20819,,絃,,
2026/01/19,TX,202609  ,31830,31840,31740,31750,223,0.71%,8,31750,202,31736,31754,31840,24962,,,,
2026/01/19,TX,202609  ,31550,31565,31550,31565,38,0.12%,2,-,-,31387,31470,31565,24962,,絃,,
2026/01/19,TX,202612  ,31550,31965,31550,31900,266,0.84%,9,31868,68,31851,31885,31965,27382,,,,
2026/01/19,TX,202612  ,31660,31682,31572,31572,-62,-0.20%,5,-,-,31512,31592,31682,27382,,絃,,
2026/01/14,TX,202601/202602    ,118,128,118,128,-,-,285,-,-,127,129,129,25,,,1142,
2026/01/14,TX,202601/202602    ,122,123,122,123,-,-,9,-,-,120,124,129,25,,絃,777,
2026/01/14,TX,202601/202603    ,177,183,177,183,-,-,19,-,-,182,184,189,80,,,79,
2026/01/14,TX,202601/202603    ,-,-,-,-,-,-,0,-,-,171,180,189,80,,絃,188,
2026/01/14,TX,202601/202606    ,-,-,-,-,-,-,0,-,-,362,368,341,59,,,7,
2026/01/14,TX,202601/202606    ,341,341,341,341,-,-,1,-,-,334,341,341,59,,絃,15,
2026/01/14,TX,202601/202609    ,-,-,-,-,-,-,0,-,-,130,141,125,-89,,絃,9,
2026/01/14,TX,202601/202612    ,-,-,-,-,-,-,0,-,-,226,271,90,-68,,絃,1,
2026/01/15,TX,202601/202602    ,126,127,80,80,-,-,897,-,-,77,81,129,25,,,1135,
2026/01/15,TX,202601/202602    ,127,128,123,126,-,-,162,-,-,127,131,129,25,,絃,1037,
2026/01/15,TX,202601/202603    ,185,185,115,115,-,-,98,-,-,106,112,189,80,,,101,
2026/01/15,TX,202601/202603    ,-,-,-,-,-,-,0,-,-,185,195,189,80,,絃,81,
2026/01/15,TX,202601/202606    ,353,356,330,330,-,-,21,-,-,291,297,362,59,,,1,
2026/01/15,TX,202601/202606    ,362,362,362,362,-,-,1,-,-,363,389,362,59,,絃,13,
2026/01/15,TX,202601/202609    ,150,150,150,150,-,-,1,-,-,87,100,150,-89,,,0,
2026/01/15,TX,202601/202609    ,-,-,-,-,-,-,0,-,-,163,198,125,-89,,絃,4,
2026/01/15,TX,202602/202603    ,-,-,-,-,-,-,0,-,-,23,35,45,45,,,10,
2026/01/15,TX,202606/202609    ,-196,-196,-196,-196,-,-,1,-,-,-226,-200,-196,-252,,,0,
2026/01/16,TX,202601/202602    ,72,97,65,87,-,-,5205,-,-,87,91,129,25,,,2882,
2026/01/16,TX,202601/202602    ,77,78,51,78,-,-,32,-,-,76,79,129,25,,絃,1869,
2026/01/16,TX,202601/202603    ,94,115,94,108,-,-,37,-,-,102,109,189,62,,,171,
2026/01/16,TX,202601/202603    ,74,74,62,62,-,-,9,-,-,101,111,189,62,,絃,341,
2026/01/16,TX,202601/202606    ,234,237,233,234,-,-,7,-,-,247,277,362,59,,,23,
2026/01/16,TX,202601/202606    ,223,225,223,225,-,-,6,-,-,160,300,362,59,,絃,26,
2026/01/16,TX,202601/202609    ,-,-,-,-,-,-,0,-,-,37,67,150,-89,,,9,
2026/01/16,TX,202601/202609    ,-,-,-,-,-,-,0,-,-,-40,95,150,-89,,絃,12,
2026/01/16,TX,202601/202612    ,205,205,205,205,-,-,1,-,-,135,182,205,-68,,,1,
2026/01/16,TX,202601/202612    ,-,-,-,-,-,-,0,-,-,-,229,90,-68,,絃,18,
2026/01/16,TX,202602/202603    ,-,-,-,-,-,-,0,-,-,11,150,45,7,,,8,
2026/01/16,TX,202602/202603    ,7,8,7,8,-,-,2,-,-,2,50,45,7,,絃,23,
2026/01/16,TX,202602/202606    ,-,-,-,-,-,-,0,-,-,-,-,-,-,,絃,3,
2026/01/16,TX,202602/202612    ,-,-,-,-,-,-,0,-,-,-,-,1,1,,,2,
2026/01/16,TX,202602/202612    ,-,-,-,-,-,-,0,-,-,69,159,1,1,,絃,2,
2026/01/16,TX,202603/202606    ,-,-,-,-,-,-,0,-,-,-,159,-13,-117,,絃,7,
2026/01/16,TX,202606/202609    ,-,-,-,-,-,-,0,-,-,-228,-197,-196,-252,,絃,2,
2026/01/19,TX,202601/202602    ,111,128,95,115,-,-,18443,-,-,115,119,129,25,,,9734,
2026/01/19,TX,202601/202602    ,88,114,87,107,-,-,34,-,-,108,117,129,25,,絃,650,
2026/01/19,TX,202601/202603    ,125,125,125,125,-,-,1,-,-,126,141,189,62,,,44,
2026/01/19,TX,202601/202603    ,-,-,-,-,-,-,0,-,-,135,156,189,62,,絃,130,
2026/01/19,TX,202601/202606    ,280,280,280,280,-,-,4,-,-,269,295,362,59,,,6,
2026/01/19,TX,202601/202606    ,-,-,-,-,-,-,0,-,-,258,326,362,59,,絃,1,
2026/01/19,TX,202601/202609    ,-,-,-,-,-,-,0,-,-,60,99,150,-89,,,1,
2026/01/19,TX,202601/202612    ,217,217,217,217,-,-,1,-,-,145,246,217,-68,,絃,0,
2026/01/19,TX,202602/202603    ,19,19,19,19,-,-,3,-,-,20,23,45,7,,,131,
2026/01/19,TX,202602/202603    ,-,-,-,-,-,-,0,-,-,11,148,45,7,,絃,15,
2026/01/19,TX,202602/202606    ,-,-,-,-,-,-,0,-,-,169,173,-,-,,,41,
2026/01/19,TX,202602/202606    ,-,-,-,-,-,-,0,-,-,-,-,-,-,,絃,5,
2026/01/19,TX,202602/202609    ,-,-,-,-,-,-,0,-,-,-48,-37,-,-,,,4,
2026/01/19,TX,202602/202609    ,-,-,-,-,-,-,0,-,-,-,-,-,-,,絃,1,
2026/01/19,TX,202602/202612    ,-,-,-,-,-,-,0,-,-,67,94,1,1,,,1,
2026/01/19,TX,202602/202612    ,-,-,-,-,-,-,0,-,-,54,161,1,1,,絃,1,
2026/01/19,TX,202603/202606    ,-,-,-,-,-,-,0,-,-,143,199,-13,-117,,,5,
2026/01/19,TX,202603/202606    ,-,-,-,-,-,-,0,-,-,75,179,-13,-117,,絃,1,
2026/01/19,TX,202609/202612    ,-,-,-,-,-,-,0,-,-,113,-,-,-,,,2,
