ユら戳,,戳る(秅),秨絃基,程蔼基,程基,Μ絃基,害禴基,害禴%,Θユ秖,挡衡基,ゼ≧綪计,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基,琌癟既氨ユ,ユ琿,基畉癸虫Α〆癠Θユ秖
2026/04/14,TX,202604  ,36060,36430,35990,36381,921,2.60%,71746,36377,16844,36370,36380,36430,31227,,,,
2026/04/14,TX,202604  ,35500,36037,35455,36027,567,1.60%,33269,-,-,36019,36027,36037,31227,,絃,,
2026/04/14,TX,202605  ,36267,36664,36209,36639,989,2.77%,40815,36649,64024,36636,36645,36664,31357,,,,
2026/04/14,TX,202605  ,35652,36228,35650,36215,565,1.58%,4367,-,-,36207,36223,36228,31357,,絃,,
2026/04/14,TX,202606  ,36289,36701,36255,36692,999,2.80%,732,36692,1097,36694,36706,36701,20819,,,,
2026/04/14,TX,202606  ,35738,36248,35700,36248,555,1.55%,83,-,-,36247,36262,36248,20819,,絃,,
2026/04/14,TX,202609  ,36184,36662,36184,36662,1064,2.99%,41,36652,479,36645,36660,36662,24962,,,,
2026/04/14,TX,202609  ,35686,36168,35675,36168,570,1.60%,24,-,-,36165,36197,36168,24962,,絃,,
2026/04/14,TX,202612  ,36314,36802,36314,36800,1098,3.08%,19,36800,234,36788,36805,36802,27382,,,,
2026/04/14,TX,202612  ,35943,36182,35938,36182,480,1.34%,15,-,-,36262,36317,36263,27382,,絃,,
2026/04/14,TX,202703  ,36720,37000,36720,36999,1062,2.96%,26,37035,90,36935,37135,37000,32400,,,,
2026/04/14,TX,202703  ,36205,36450,36205,36450,513,1.43%,2,-,-,36463,36500,36450,32400,,絃,,
2026/04/14,TX,202604/202605    ,195,273,195,261,-,-,20942,-,-,261,269,273,45,,,9200,
2026/04/14,TX,202604/202605    ,194,201,188,189,-,-,111,-,-,188,196,211,45,,絃,1629,
2026/04/14,TX,202604/202606    ,265,265,265,265,-,-,2,-,-,273,380,265,20,,,321,
2026/04/14,TX,202604/202606    ,-,-,-,-,-,-,0,-,-,228,235,244,20,,絃,49,
2026/04/14,TX,202604/202703    ,699,699,680,690,-,-,8,-,-,530,755,699,310,,,5,
2026/04/14,TX,202605/202606    ,40,63,40,63,-,-,334,-,-,58,61,63,-39,,,359,
2026/04/14,TX,202605/202606    ,-,-,-,-,-,-,0,-,-,37,43,36,-39,,絃,44,
2026/04/14,TX,202605/202609    ,-,-,-,-,-,-,0,-,-,9,15,-60,-70,,,35,
2026/04/14,TX,202605/202609    ,-,-,-,-,-,-,0,-,-,-45,0,-60,-70,,絃,17,
2026/04/14,TX,202605/202612    ,-,-,-,-,-,-,0,-,-,152,160,-,-,,,18,
2026/04/14,TX,202605/202612    ,-,-,-,-,-,-,0,-,-,56,110,-,-,,絃,15,
2026/04/14,TX,202605/202703    ,-,-,-,-,-,-,0,-,-,299,542,-,-,,,2,
2026/04/14,TX,202605/202703    ,-,-,-,-,-,-,0,-,-,257,334,-,-,,絃,2,
2026/04/14,TX,202606/202609    ,-,-,-,-,-,-,0,-,-,-110,-55,-86,-252,,絃,6,
2026/04/14,TX,202612/202703    ,-,-,-,-,-,-,0,-,-,-,299,-,-,,,2,
